tracker,HOTA(0),IDF1,MOTA,IDSW,Frag,dHOTA_vs_pig30fps_bytetrack_detonly,dIDF1_vs_pig30fps_bytetrack_detonly,dMOTA_vs_pig30fps_bytetrack_detonly,dIDSW_vs_pig30fps_bytetrack_detonly,dFrag_vs_pig30fps_bytetrack_detonly
detonly_conf0.5_match0.7_buf50,0.8769425705845943,0.8985835694050992,0.908809221330524,60,2488.0,0.0022378503152630236,-0.0014309986520075757,0.0,0,1.0
detonly_conf0.3_match0.7_buf50,0.8769425705845943,0.8985835694050992,0.908809221330524,60,2488.0,0.0022378503152630236,-0.0014309986520075757,0.0,0,1.0
detonly_conf0.4_match0.7_buf50,0.8769425705845943,0.8985835694050992,0.908809221330524,60,2488.0,0.0022378503152630236,-0.0014309986520075757,0.0,0,1.0
detonly_conf0.5_match0.7_buf30,0.8758263953010536,0.8975620811344579,0.9087472500232392,61,2488.0,0.0011216750317222246,-0.0024524869226488777,-6.197130728480271e-05,1,1.0
detonly_conf0.4_match0.7_buf30,0.8758263953010536,0.8975620811344579,0.9087472500232392,61,2488.0,0.0011216750317222246,-0.0024524869226488777,-6.197130728480271e-05,1,1.0
detonly_conf0.3_match0.7_buf30,0.8758263953010536,0.8975620811344579,0.9087472500232392,61,2488.0,0.0011216750317222246,-0.0024524869226488777,-6.197130728480271e-05,1,1.0
detonly_conf0.5_match0.6_buf30,0.8748783874043915,0.8952492022612047,0.9076937377993988,80,2509.0,0.00017366713506017373,-0.004765365795902032,-0.0011154835311252276,20,22.0
detonly_conf0.3_match0.6_buf30,0.8748783874043915,0.8952492022612047,0.9076937377993988,80,2509.0,0.00017366713506017373,-0.004765365795902032,-0.0011154835311252276,20,22.0
detonly_conf0.4_match0.6_buf30,0.8748783874043915,0.8952492022612047,0.9076937377993988,80,2509.0,0.00017366713506017373,-0.004765365795902032,-0.0011154835311252276,20,22.0
baseline_detonly,0.8747047202693313,0.9000145680571068,0.908809221330524,60,2487.0,0.0,0.0,0.0,0,0.0
detonly_conf0.3_match0.8_buf30,0.8747047202693313,0.9000145680571068,0.908809221330524,60,2487.0,0.0,0.0,0.0,0,0.0
detonly_conf0.4_match0.8_buf30,0.8747047202693313,0.9000145680571068,0.908809221330524,60,2487.0,0.0,0.0,0.0,0,0.0
detonly_conf0.5_match0.8_buf30,0.8747047202693313,0.9000145680571068,0.908809221330524,60,2487.0,0.0,0.0,0.0,0,0.0
pig30fps_bytetrack_detonly,0.8747047202693313,0.9000145680571068,0.908809221330524,60,2487.0,0.0,0.0,0.0,0,0.0
detonly_conf0.5_match0.6_buf50,0.8744830742330432,0.8939209874143544,0.9076627521457564,81,2509.0,-0.00022164603628815893,-0.006093580642752339,-0.0011464691847675734,21,22.0
detonly_conf0.4_match0.6_buf50,0.8744830742330432,0.8939209874143544,0.9076627521457564,81,2509.0,-0.00022164603628815893,-0.006093580642752339,-0.0011464691847675734,21,22.0
detonly_conf0.3_match0.6_buf50,0.8744830742330432,0.8939209874143544,0.9076627521457564,81,2509.0,-0.00022164603628815893,-0.006093580642752339,-0.0011464691847675734,21,22.0
detonly_conf0.4_match0.8_buf50,0.8744312608871547,0.8974603842605332,0.908902178291451,59,2487.0,-0.0002734593821765996,-0.0025541837965735725,9.295696092703754e-05,-1,0.0
detonly_conf0.3_match0.8_buf50,0.8744312608871547,0.8974603842605332,0.908902178291451,59,2487.0,-0.0002734593821765996,-0.0025541837965735725,9.295696092703754e-05,-1,0.0
detonly_conf0.5_match0.8_buf50,0.8744312608871547,0.8974603842605332,0.908902178291451,59,2487.0,-0.0002734593821765996,-0.0025541837965735725,9.295696092703754e-05,-1,0.0
